filename,video_id,start_time,end_time,duration,id,transcription,usability,bg_music,bg_noise,other_voice,only_music,only_noise,other_sounds,annotator,annotate_date_YYYYMMDD,0
AneesaSmith_HrYDsGL1gxg_564957_565405.wav,AneesaSmith_HrYDsGL1gxg,564957,565405,448,123,go for,1,0,0,0,0,0,0,ak,2021-04-12 20:28:33.992235,
AneesaSmith_HrYDsGL1gxg_565781_570389.wav,AneesaSmith_HrYDsGL1gxg,565781,570389,4608,124,um so definitely save your money and also like I said earlier get as much experience as you can,1,0,0,0,0,0,0,ak,2021-04-12 20:28:51.871008,
AneesaSmith_HrYDsGL1gxg_570493_570909.wav,AneesaSmith_HrYDsGL1gxg,570493,570909,416,125,um,0,0,0,0,0,0,0,ak,2021-04-12 20:28:58.735869,
AneesaSmith_HrYDsGL1gxg_571061_576029.wav,AneesaSmith_HrYDsGL1gxg,571061,576029,4968,126,my biggest thing is people sometimes ask me this they're like how much should I start charging like I'm just starting out blah blah,1,0,0,0,0,0,0,ak,2021-04-12 20:29:17.781721,
AneesaSmith_HrYDsGL1gxg_576269_583855.wav,AneesaSmith_HrYDsGL1gxg,576269,583855,7586,127,don't charge them anything because_lgh if_lgh you don't know what you're doing I feel like that's kind of not fair for you to be like charging at the same time I understand that makeup costs money,1,0,0,0,0,0,0,ak,2021-04-12 20:29:46.847304,
AneesaSmith_HrYDsGL1gxg_584071_593936.wav,AneesaSmith_HrYDsGL1gxg,584071,593936,9865,128,but when I first started freelancing I would have people bring me all of their own products and like the problem with that sometimes too is people don't have the right stuff like maybe they don't have the right color maybe I don't have the right_unc shade for their like skin tone,1,0,0,0,0,0,0,ak,2021-04-12 20:30:21.730642,
AneesaSmith_HrYDsGL1gxg_594232_601441.wav,AneesaSmith_HrYDsGL1gxg,594232,601441,7209,129,it happens but if you're trying to like just get the experience of working with different products and different people and different faces I would say have them,1,0,0,0,0,0,0,ak,2021-04-12 20:30:40.327458,
AneesaSmith_HrYDsGL1gxg_601881_605449.wav,AneesaSmith_HrYDsGL1gxg,601881,605449,3568,130,them don't charge them first of all but then I would say to,1,0,0,0,0,0,1,ak,2021-04-12 20:30:56.908022,
AneesaSmith_HrYDsGL1gxg_605657_612137.wav,AneesaSmith_HrYDsGL1gxg,605657,612137,6480,131,you know have th- h- use their stuff instead of like buying a crap ton of stuff and like not really maybe not knowing uh- what to do with it yet,1,0,0,0,0,0,0,ak,2021-04-12 20:31:43.113728,
AneesaSmith_HrYDsGL1gxg_612409_621421.wav,AneesaSmith_HrYDsGL1gxg,612409,621421,9012,132,sorry there was like_lgh something_lgh floating_lgh right here but I would say use the clients products use the stuff that they have so then they- that way they can learn to use like what they have so they don't have,1,0,0,0,0,0,0,ak,2021-04-12 20:32:56.430234,
AneesaSmith_HrYDsGL1gxg_621653_623081.wav,AneesaSmith_HrYDsGL1gxg,621653,623081,1428,133,say it you don't have to tell them like okay,1,0,0,0,0,0,0,ak,2021-04-12 20:33:13.584078,
AneesaSmith_HrYDsGL1gxg_623385_626537.wav,AneesaSmith_HrYDsGL1gxg,623385,626537,3152,134,here's what you need go out and spend 500 dollars on like all this stuff because,1,0,0,0,0,0,0,ak,2021-04-12 20:33:28.645941,
AneesaSmith_HrYDsGL1gxg_626713_627281.wav,AneesaSmith_HrYDsGL1gxg,626713,627281,568,135,you know it's,1,0,0,0,0,0,0,ak,2021-04-12 20:33:38.888190,
AneesaSmith_HrYDsGL1gxg_627433_627545.wav,AneesaSmith_HrYDsGL1gxg,627433,627545,112,136,,0,0,0,0,0,0,0,ak,2021-04-12 20:33:42.097073,
AneesaSmith_HrYDsGL1gxg_628025_636817.wav,AneesaSmith_HrYDsGL1gxg,628025,636817,8792,137,so that's probably what I would say is um I I didn't charge people when I first started because I just didn't I didn't know what I was doing you know so I wanted to just get that experience before I was like,1,0,0,0,0,0,0,ak,2021-04-12 20:34:34.143462,
AneesaSmith_HrYDsGL1gxg_637081_640105.wav,AneesaSmith_HrYDsGL1gxg,637081,640105,3024,138,okay fork it over you know_lgh what_lgh I mean just I mean things to think about,1,0,0,0,0,0,0,ak,2021-04-12 20:35:06.859286,
AneesaSmith_HrYDsGL1gxg_640225_643725.wav,AneesaSmith_HrYDsGL1gxg,640225,643725,3500,139,alrighty the next question is um I love the way you do makeup how did you how did you,1,0,0,0,0,0,0,ak,2021-04-12 20:35:32.620613,
AneesaSmith_HrYDsGL1gxg_643997_653174.wav,AneesaSmith_HrYDsGL1gxg,643997,653174,9177,140,how did you get inspired to start doing makeup for others thank you I got started doing makeup like I said in about three just over three years ago and I was actually in,1,0,0,0,0,0,0,ak,2021-04-12 20:36:21.466958,
AneesaSmith_HrYDsGL1gxg_653470_654343.wav,AneesaSmith_HrYDsGL1gxg,653470,654343,873,141,Target aisle and I was,1,0,0,0,0,0,0,ak,2021-04-12 20:36:47.350396,
AneesaSmith_HrYDsGL1gxg_654583_654849.wav,AneesaSmith_HrYDsGL1gxg,654583,654849,266,142,like,1,0,0,0,0,0,0,ak,2021-04-12 20:36:51.417399,
AneesaSmith_HrYDsGL1gxg_655017_658897.wav,AneesaSmith_HrYDsGL1gxg,655017,658897,3880,143,I was I had to buy like new makeup and stuff because that was when I bought all my stuff at,1,0,0,0,0,0,0,ak,2021-04-12 20:37:15.782442,
AneesaSmith_HrYDsGL1gxg_659161_659785.wav,AneesaSmith_HrYDsGL1gxg,659161,659785,624,144,oh my god my lash,1,0,0,0,0,0,0,ak,2021-04-12 20:37:23.880186,
AneesaSmith_HrYDsGL1gxg_660545_660737.wav,AneesaSmith_HrYDsGL1gxg,660545,660737,192,145,ah,0,0,0,0,0,0,0,ak,2021-04-12 20:37:27.306462,
AneesaSmith_HrYDsGL1gxg_660873_669145.wav,AneesaSmith_HrYDsGL1gxg,660873,669145,8272,146,sorry that's when I bought all my makeup um at the drugstore like just at Target and I was standing in the aisle and I thought you know I think it'd be really fun to just like buy,1,0,0,0,0,0,0,ak,2021-04-12 20:38:01.402621,
AneesaSmith_HrYDsGL1gxg_669361_671905.wav,AneesaSmith_HrYDsGL1gxg,669361,671905,2544,147,new stuff like I'm just gonna throw out everything I have,1,0,0,0,0,0,0,ak,2021-04-12 20:38:15.850023,
AneesaSmith_HrYDsGL1gxg_672049_678113.wav,AneesaSmith_HrYDsGL1gxg,672049,678113,6064,148,and I'm just gonna start over like I'm just gonna buy new product and just like try it out and see how I like it and all that stuff just kind of experiment with new things,1,0,0,0,0,0,0,ak,2021-04-12 20:38:37.624078,
AneesaSmith_HrYDsGL1gxg_678569_682337.wav,AneesaSmith_HrYDsGL1gxg,678569,682337,3768,149,and so I went home and I like was trying on all this makeup and I thought wow this is like so much fun like,1,0,0,0,0,0,0,ak,2021-04-12 20:38:52.427605,
AneesaSmith_HrYDsGL1gxg_682513_687833.wav,AneesaSmith_HrYDsGL1gxg,682513,687833,5320,150,finding new stuff and like figuring out like new ways to do things and like new products to use and I think that's kind of what like,1,0,0,0,0,0,0,ak,2021-04-12 20:39:07.733167,
AneesaSmith_HrYDsGL1gxg_688185_693081.wav,AneesaSmith_HrYDsGL1gxg,688185,693081,4896,151,made me feel like I kind of want to start doing this like on regular basis like if I started working on people and like,1,0,0,0,0,0,0,ak,2021-04-12 20:39:21.916027,
AneesaSmith_HrYDsGL1gxg_693705_695913.wav,AneesaSmith_HrYDsGL1gxg,693705,695913,2208,152,I knew that- that I was gonna I knew that I was gonna have to,1,0,0,0,0,0,0,ak,2021-04-12 20:39:44.931041,
AneesaSmith_HrYDsGL1gxg_696025_704381.wav,AneesaSmith_HrYDsGL1gxg,696025,704381,8356,153,figure out like different ways to do things and I loved like learning I feel like that's what I love the most about makeup is because it's just it's never one thing it's always changing it's always like something new,1,0,0,0,0,0,0,ak,2021-04-12 20:40:07.980375,
AneesaSmith_HrYDsGL1gxg_704661_712049.wav,AneesaSmith_HrYDsGL1gxg,704661,712049,7388,154,it's always fun it's always exciting and there's always so much to learn like I feel like I just never stopped learning in this industry like which is so cool and,1,0,0,0,0,0,0,ak,2021-04-12 20:40:40.085463,
AneesaSmith_HrYDsGL1gxg_712289_716841.wav,AneesaSmith_HrYDsGL1gxg,712289,716841,4552,155,I think um th- I think that's probably what started like what made me want to,1,0,0,0,0,0,0,ak,2021-04-12 20:40:57.525189,
AneesaSmith_HrYDsGL1gxg_717073_722537.wav,AneesaSmith_HrYDsGL1gxg,717073,722537,5464,156,start doing people_unc makeup on other people is just the fact that I wanted to like learn more about how to do stuff and I,1,0,0,0,0,0,0,ak,2021-04-12 20:41:28.013870,
